ID,Media,FS,Replicate,Time,Peptide_Value,Peptide
ES_1_000,B,FSA,1,0,21.758425,Med
ES_2_000,B,FSA,2,0,20.6141125,Med
ES_3_000,B,FSA,3,0,23.027075,Med
ES_4_000,B,FSA,4,0,12.4241375,Low
AR_1_000,AP,FSA,1,0,15.7676,Low
AR_2_000,AP,FSA,2,0,16.9111125,Low
AR_3_000,AP,FSA,3,0,14.7900375,Low
AR_4_000,AP,FSA,4,0,19.5660375,Med
HS_1_000,GP,FSA,1,0,35.145875,High
HS_2_000,GP,FSA,2,0,36.16175,High
HS_3_000,GP,FSA,3,0,30.2776125,Med
HS_4_000,GP,FSA,4,0,24.516275,Med
HG_1_000,GM,FSA,1,0,30.912775,Med
HG_2_000,GM,FSA,2,0,31.0320625,Med
HG_3_000,GM,FSA,3,0,36.802825,High
HG_4_000,GM,FSA,4,0,36.944475,High
ARM_1_000,AM,FSA,1,0,44.249325,High
ARM_2_000,AM,FSA,2,0,40.8862625,High
ARM_3_000,AM,FSA,3,0,46.1307625,High
ARM_4_000,AM,FSA,4,0,43.775975,High
BRM4IS_1_000,ILC,FSA,1,0,15.447925,Low
BRM4IS_2_000,ILC,FSA,2,0,14.177375,Low
BRM4IS_3_000,ILC,FSA,3,0,15.422025,Low
BRM4IS_4_000,ILC,FSA,4,0,14.84165,Low
ES_1_012,B,FSA,1,12,21.758425,Med
ES_2_012,B,FSA,2,12,20.6141125,Med
ES_3_012,B,FSA,3,12,23.027075,Med
ES_4_012,B,FSA,4,12,12.4241375,Low
AR_1_012,AP,FSA,1,12,15.7676,Low
AR_2_012,AP,FSA,2,12,16.9111125,Low
AR_3_012,AP,FSA,3,12,14.7900375,Low
AR_4_012,AP,FSA,4,12,19.5660375,Med
HS_1_012,GP,FSA,1,12,35.145875,High
HS_2_012,GP,FSA,2,12,36.16175,High
HS_3_012,GP,FSA,3,12,30.2776125,Med
HS_4_012,GP,FSA,4,12,24.516275,Med
HG_1_012,GM,FSA,1,12,30.912775,Med
HG_2_012,GM,FSA,2,12,31.0320625,Med
HG_3_012,GM,FSA,3,12,36.802825,High
HG_4_012,GM,FSA,4,12,36.944475,High
ARM_1_012,AM,FSA,1,12,44.249325,High
ARM_2_012,AM,FSA,2,12,40.8862625,High
ARM_3_012,AM,FSA,3,12,46.1307625,High
ARM_4_012,AM,FSA,4,12,43.775975,High
BRM4IS_1_012,ILC,FSA,1,12,15.447925,Low
BRM4IS_2_012,ILC,FSA,2,12,14.177375,Low
BRM4IS_3_012,ILC,FSA,3,12,15.422025,Low
BRM4IS_4_012,ILC,FSA,4,12,14.84165,Low
ES_1_024,B,FSA,1,24,21.758425,Med
ES_2_024,B,FSA,2,24,20.6141125,Med
ES_3_024,B,FSA,3,24,23.027075,Med
ES_4_024,B,FSA,4,24,12.4241375,Low
AR_1_024,AP,FSA,1,24,15.7676,Low
AR_2_024,AP,FSA,2,24,16.9111125,Low
AR_3_024,AP,FSA,3,24,14.7900375,Low
AR_4_024,AP,FSA,4,24,19.5660375,Med
HS_1_024,GP,FSA,1,24,35.145875,High
HS_2_024,GP,FSA,2,24,36.16175,High
HS_3_024,GP,FSA,3,24,30.2776125,Med
HS_4_024,GP,FSA,4,24,24.516275,Med
HG_1_024,GM,FSA,1,24,30.912775,Med
HG_2_024,GM,FSA,2,24,31.0320625,Med
HG_3_024,GM,FSA,3,24,36.802825,High
HG_4_024,GM,FSA,4,24,36.944475,High
ARM_1_024,AM,FSA,1,24,44.249325,High
ARM_2_024,AM,FSA,2,24,40.8862625,High
ARM_3_024,AM,FSA,3,24,46.1307625,High
ARM_4_024,AM,FSA,4,24,43.775975,High
BRM4IS_1_024,ILC,FSA,1,24,15.447925,Low
BRM4IS_2_024,ILC,FSA,2,24,14.177375,Low
BRM4IS_3_024,ILC,FSA,3,24,15.422025,Low
BRM4IS_4_024,ILC,FSA,4,24,14.84165,Low
ES_1_036,B,FSA,1,36,21.758425,Med
ES_2_036,B,FSA,2,36,20.6141125,Med
ES_3_036,B,FSA,3,36,23.027075,Med
ES_4_036,B,FSA,4,36,12.4241375,Low
AR_1_036,AP,FSA,1,36,15.7676,Low
AR_2_036,AP,FSA,2,36,16.9111125,Low
AR_3_036,AP,FSA,3,36,14.7900375,Low
AR_4_036,AP,FSA,4,36,19.5660375,Med
HS_1_036,GP,FSA,1,36,35.145875,High
HS_2_036,GP,FSA,2,36,36.16175,High
HS_3_036,GP,FSA,3,36,30.2776125,Med
HS_4_036,GP,FSA,4,36,24.516275,Med
HG_1_036,GM,FSA,1,36,30.912775,Med
HG_2_036,GM,FSA,2,36,31.0320625,Med
