Media,Carbohydrate,Carbohydrate Complexity,InvSimpson,Shannon,SimpsonEven,ShannonEven,Concentration,CheSLShannon
Laminarin_5,Laminarin,0.226,9.101064,2.164205,0.910106,0.939902,5,
Laminarin_10,Laminarin,0.226,8.937063,2.179316,0.893706,0.946465,10,
Xylan_2,Xylan,0.407,8.666667,2.12463,0.866667,0.922715,2,
Laminarin_2,Laminarin,0.226,8.5,2.106307,0.85,0.914757,2,
Xylan_1,Xylan,0.407,8.251908,2.103717,0.825191,0.913633,1,
Laminarin_1,Laminarin,0.226,8.189394,2.080834,0.818939,0.903695,1,
Xylan_5,Xylan,0.407,8.184615,2.091091,0.818462,0.908149,5,
Xylan_10,Xylan,0.407,7.828179,2.073375,0.782818,0.900455,10,
Laminarin_Mono_2,Laminarin_Sugars,0,6.695483,2.003759,0.669548,0.870222,2,
Inulin_Mono_5,Inulin_Sugars,0.08,6.507532,2.002116,0.650753,0.869508,5,
Laminarin_Mono_5,Laminarin_Sugars,0,6.391187,1.970163,0.639119,0.855631,5,
Inulin_Mono_10,Inulin_Sugars,0.08,6.371929,1.989901,0.637193,0.864203,10,
Inulin_Mono_2,Inulin_Sugars,0.08,6.365119,1.973676,0.636512,0.857157,2,
Inulin_10,Inulin,0.16,6.301449,1.9844,0.630145,0.861814,10,
Laminarin_Mono_10,Laminarin_Sugars,0,6.251591,1.95418,0.625159,0.84869,10,
Inulin_Mono_1,Inulin_Sugars,0.08,6.229576,1.959773,0.622958,0.851119,1,
Inulin_5,Inulin,0.16,5.762771,1.946604,0.576277,0.845399,5,
Inulin_1,Inulin,0.16,5.521562,1.919011,0.552156,0.833416,1,
Inulin_2,Inulin,0.16,5.287081,1.897199,0.528708,0.823943,2,
Xylan_Mono_10,Xylan_Sugars,0.203,5.177368,1.828844,0.517737,0.794257,10,
Xylan_Mono_1,Xylan_Sugars,0.203,5.112405,1.871532,0.511241,0.812796,1,
Xylan_Mono_2,Xylan_Sugars,0.203,5,1.843464,0.5,0.800606,2,
Xylan_Mono_5,Xylan_Sugars,0.203,4.809403,1.792937,0.48094,0.778663,5,
