Node Number,Taxonomy
1,Akkermansia
2,Anaerofustis
3,Anaerostipes
4,Anaerotruncus
5,Bacteroides
6,Bifidobacterium
7,Blautia
8,Clostridiaceae
9,Clostridiaceae_unclassified
10,Clostridiales
11,Clostridiales_unclassified
12,Clostridium
13,Collinsella
14,Coprococcus
15,Dialister
16,Dorea
17,Eggerthella
18,Enterobacteriaceae
19,Enterobacteriaceae_unclassified
20,Erysipelotrichaeceae
21,Faecalibacterium
22,Finegoldia
23,Lachnospiraceae
24,Lactobacillus
25,Mogibacteriaceae
26,Oscillospira
27,Peptoniphilus
28,Peptostreptococcaceae
29,Rikenellaceae
30,Roseburia
31,Rumiococcaceae
32,Ruminococcus
33,Sutterella
34,Veillonella
